epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31255,2.85493,4.16967,2.04487,0.00163,0.03732,0.00021,9e-05,2.63471,4.39402,2.09787,6.25e-05,6.25e-05,6.25e-05
2,2.59486,2.41334,3.89319,1.83626,0.01152,0.31435,0.08136,0.03456,2.11361,3.98164,1.64047,0.000136593,0.000136593,0.000136593
3,2.86973,1.72689,2.93293,1.44698,0.02182,0.50097,0.19665,0.08692,1.53185,3.66789,1.3129,0.000209695,0.000209695,0.000209695
4,3.25298,1.62917,2.32023,1.35292,0.02758,0.56178,0.28377,0.1159,1.55351,3.48292,1.32458,0.000281807,0.000281807,0.000281807
5,3.51958,1.57237,2.08947,1.30911,0.03317,0.62773,0.33514,0.14596,1.51769,3.30223,1.28796,0.00035293,0.00035293,0.00035293
6,3.77861,1.49638,1.97263,1.27343,0.25839,0.30952,0.43909,0.2479,1.30058,3.04365,1.15838,0.000423062,0.000423062,0.000423062
7,4.03492,1.385,1.81394,1.21614,0.66216,0.23944,0.46544,0.26405,1.29052,2.63302,1.16345,0.000492205,0.000492205,0.000492205
8,4.29394,1.31108,1.67394,1.16255,0.69201,0.34044,0.5237,0.32574,1.21724,2.46392,1.13967,0.000560357,0.000560357,0.000560357
9,4.55296,1.36321,1.70532,1.2025,0.52209,0.44981,0.49192,0.32366,1.1262,2.3165,1.14679,0.00062752,0.00062752,0.00062752
10,4.81431,1.28686,1.62199,1.16845,0.51874,0.54955,0.53327,0.31813,1.2442,2.21144,1.17011,0.000693692,0.000693692,0.000693692
11,5.06052,1.21733,1.56479,1.12309,0.67929,0.49324,0.58087,0.36768,1.18648,2.17795,1.14714,0.000758875,0.000758875,0.000758875
12,5.31139,1.1525,1.51445,1.10915,0.57853,0.48282,0.53947,0.34933,1.17791,2.27114,1.14461,0.000823068,0.000823068,0.000823068
13,5.56358,1.14622,1.539,1.12696,0.55664,0.59123,0.61432,0.38264,1.20964,2.12688,1.13479,0.00088627,0.00088627,0.00088627
14,5.80916,1.26671,1.49891,1.13368,0.58749,0.61641,0.62346,0.41518,1.13706,2.04838,1.11916,0.000948483,0.000948483,0.000948483
15,6.04892,1.20019,1.50389,1.11134,0.57073,0.59524,0.60524,0.42268,1.12987,2.07057,1.12076,0.0010097,0.0010097,0.0010097
16,6.30229,1.18619,1.43703,1.11184,0.55811,0.63765,0.6507,0.43481,1.14709,2.00198,1.11757,0.00106994,0.00106994,0.00106994
17,6.55222,1.17415,1.39688,1.09887,0.54224,0.63541,0.64289,0.44256,1.10089,1.89949,1.10832,0.001118,0.001118,0.001118
18,6.8047,1.14787,1.40575,1.095,0.52573,0.69478,0.64428,0.40367,1.13214,1.67973,1.12087,0.00110975,0.00110975,0.00110975
19,7.05554,1.19976,1.39857,1.09041,0.59569,0.69498,0.6507,0.41145,1.14437,1.56024,1.13783,0.0011015,0.0011015,0.0011015
20,7.30915,1.15451,1.44707,1.09248,0.73729,0.63976,0.68557,0.46437,1.10958,1.52265,1.11,0.00109325,0.00109325,0.00109325
21,7.55366,1.12841,1.34267,1.06437,0.67837,0.60167,0.65986,0.47204,1.09221,1.5716,1.08385,0.001085,0.001085,0.001085
22,7.81095,1.14648,1.34528,1.09336,0.5817,0.71042,0.65316,0.48459,1.014,1.53868,1.07231,0.00107675,0.00107675,0.00107675
23,8.05379,1.11064,1.31652,1.07307,0.53257,0.70882,0.62392,0.45508,1.02094,1.51958,1.06141,0.0010685,0.0010685,0.0010685
24,8.30728,1.06777,1.34041,1.06836,0.58032,0.71304,0.65153,0.46866,1.03661,1.48122,1.069,0.00106025,0.00106025,0.00106025
25,8.63934,1.05911,1.31778,1.03892,0.6306,0.69144,0.66087,0.48476,1.02695,1.45255,1.06567,0.001052,0.001052,0.001052
26,8.89254,1.07019,1.27942,1.04406,0.76232,0.55142,0.65878,0.46575,1.03542,1.46476,1.0531,0.00104375,0.00104375,0.00104375
27,9.13293,1.04265,1.24193,1.04638,0.69064,0.60485,0.68887,0.46669,1.09045,1.44317,1.07708,0.0010355,0.0010355,0.0010355
28,9.38157,1.10641,1.23399,1.03257,0.6924,0.66441,0.66616,0.45852,1.10737,1.43027,1.05416,0.00102725,0.00102725,0.00102725
29,9.61793,1.0889,1.191,1.04255,0.6965,0.67125,0.66884,0.44519,1.17167,1.44397,1.06725,0.001019,0.001019,0.001019
30,9.8664,1.10375,1.24204,1.04472,0.77491,0.61654,0.69707,0.47989,1.11574,1.6378,1.08712,0.00101075,0.00101075,0.00101075
31,10.1027,1.14051,1.24617,1.0474,0.62551,0.63834,0.68422,0.45288,1.16218,1.80652,1.10295,0.0010025,0.0010025,0.0010025
32,10.3538,1.09012,1.25846,1.03388,0.69269,0.6406,0.67983,0.46303,1.10163,1.49071,1.07138,0.00099425,0.00099425,0.00099425
33,10.5954,1.10684,1.19785,1.04275,0.69567,0.68399,0.67741,0.45908,1.13717,1.41714,1.06216,0.000986,0.000986,0.000986
34,10.8492,1.07699,1.2155,1.05879,0.58271,0.72174,0.64562,0.46737,0.92689,1.55045,1.02486,0.00097775,0.00097775,0.00097775
35,11.0895,1.04205,1.23324,1.04054,0.5868,0.70516,0.60841,0.43232,0.99258,1.63267,1.04504,0.0009695,0.0009695,0.0009695
36,11.338,0.94629,1.14609,1.02808,0.69459,0.67631,0.64258,0.47151,0.94779,1.56081,1.03584,0.00096125,0.00096125,0.00096125
37,11.5777,0.96825,1.19776,1.00832,0.73722,0.67439,0.68955,0.50866,0.91564,1.4767,1.01417,0.000953,0.000953,0.000953
38,11.8329,1.01346,1.18759,1.03512,0.74374,0.69414,0.73529,0.52752,0.89544,1.30542,1.01166,0.00094475,0.00094475,0.00094475
39,12.0743,0.94183,1.09177,0.9991,0.69855,0.73218,0.74507,0.53104,0.91873,1.31398,1.0185,0.0009365,0.0009365,0.0009365
40,12.3283,0.97434,1.11301,1.00371,0.71189,0.68951,0.75217,0.52172,0.96733,1.30418,1.03451,0.00092825,0.00092825,0.00092825
41,12.5695,0.91158,1.06739,1.00939,0.73404,0.68156,0.74991,0.51171,0.98923,1.31785,1.04494,0.00092,0.00092,0.00092
42,12.8202,0.97634,1.1114,1.00892,0.60782,0.73415,0.72618,0.4993,0.95031,1.40551,1.0317,0.00091175,0.00091175,0.00091175
43,13.0606,0.99438,1.07635,1.01401,0.6915,0.72336,0.78195,0.55108,0.91004,1.30398,1.01894,0.0009035,0.0009035,0.0009035
44,13.3175,0.97918,1.07198,1.01671,0.80275,0.69503,0.7662,0.55555,0.93501,1.25049,1.01608,0.00089525,0.00089525,0.00089525
45,13.5616,0.9536,1.0807,1.01644,0.82368,0.67439,0.77472,0.53783,0.96527,1.26063,1.02961,0.000887,0.000887,0.000887
46,13.9094,0.96798,1.09289,0.9919,0.76088,0.67278,0.71709,0.51807,0.97748,1.23331,1.0126,0.00087875,0.00087875,0.00087875
47,14.1521,0.98903,1.06091,0.98908,0.68094,0.73216,0.72002,0.50035,0.98951,1.25324,1.00609,0.0008705,0.0008705,0.0008705
48,14.4,0.94254,1.01739,0.98967,0.57879,0.79505,0.68824,0.49858,0.93695,1.26886,0.99829,0.00086225,0.00086225,0.00086225
49,14.6378,0.95139,1.01146,0.98298,0.66945,0.72394,0.74594,0.54817,0.91628,1.19277,0.99064,0.000854,0.000854,0.000854
50,14.8867,0.93752,1.00726,0.99738,0.71978,0.67662,0.729,0.53132,0.94763,1.23429,1.00962,0.00084575,0.00084575,0.00084575
51,15.1226,0.91326,0.97987,0.9961,0.6768,0.67954,0.72052,0.53335,0.92547,1.25,1.00748,0.0008375,0.0008375,0.0008375
52,15.373,0.96327,1.00967,1.01032,0.6141,0.71082,0.7118,0.54524,0.83535,1.21133,0.97942,0.00082925,0.00082925,0.00082925
53,15.6143,0.89082,0.94826,0.9823,0.67242,0.7202,0.71338,0.53858,0.84276,1.22951,0.99394,0.000821,0.000821,0.000821
54,15.8617,0.89343,1.03169,0.97787,0.69249,0.7185,0.71951,0.53451,0.88848,1.25092,0.98989,0.00081275,0.00081275,0.00081275
55,16.1003,0.91032,1.00853,0.97698,0.73982,0.65762,0.72861,0.54323,0.87678,1.21475,0.99399,0.0008045,0.0008045,0.0008045
56,16.3479,0.93243,0.96418,0.96646,0.65158,0.69205,0.7239,0.53336,0.9327,1.21385,1.01283,0.00079625,0.00079625,0.00079625
57,16.589,0.89862,0.97468,0.98492,0.67712,0.60149,0.71435,0.52971,0.93952,1.22129,1.0199,0.000788,0.000788,0.000788
58,16.8368,0.94331,0.99697,0.99981,0.73222,0.7187,0.76331,0.56461,0.92329,1.17326,1.0139,0.00077975,0.00077975,0.00077975
59,17.0787,0.93834,1.00323,0.98513,0.74909,0.72523,0.74839,0.55346,0.89339,1.189,1.00164,0.0007715,0.0007715,0.0007715
60,17.3266,0.88668,0.94778,0.97898,0.75839,0.71146,0.74556,0.57096,0.86201,1.23461,0.98217,0.00076325,0.00076325,0.00076325
61,17.5702,0.8416,0.9354,0.96064,0.69271,0.67505,0.72751,0.56335,0.85202,1.26756,0.97434,0.000755,0.000755,0.000755
62,17.8214,0.9536,0.95851,0.96956,0.55947,0.72718,0.71473,0.53547,0.86765,1.32691,0.97425,0.00074675,0.00074675,0.00074675
63,18.0573,0.84482,0.94089,0.96957,0.6242,0.72876,0.72443,0.56232,0.842,1.22544,0.97081,0.0007385,0.0007385,0.0007385
64,18.3101,0.87891,0.88833,0.97297,0.71808,0.71498,0.73352,0.58926,0.79832,1.17592,0.95974,0.00073025,0.00073025,0.00073025
65,18.5499,0.86371,0.90166,0.9776,0.76825,0.66602,0.73191,0.57564,0.8229,1.20114,0.9646,0.000722,0.000722,0.000722
66,18.8919,0.84946,0.9011,0.96327,0.80881,0.63368,0.73451,0.57235,0.85611,1.1776,0.97992,0.00071375,0.00071375,0.00071375
67,19.1338,0.89911,0.93636,0.97389,0.79863,0.66602,0.75623,0.58138,0.86155,1.17757,0.98988,0.0007055,0.0007055,0.0007055
68,19.381,0.84867,0.88843,0.98661,0.77595,0.71171,0.75559,0.57651,0.83626,1.18899,0.97764,0.00069725,0.00069725,0.00069725
69,19.6186,0.84953,0.88623,0.95062,0.73384,0.70976,0.73647,0.5725,0.83792,1.18402,0.98024,0.000689,0.000689,0.000689
70,19.8688,0.86164,0.89092,0.96868,0.6966,0.6982,0.72841,0.55974,0.84052,1.16491,0.98531,0.00068075,0.00068075,0.00068075
