epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.31576,2.83034,4.17848,1.94634,0.00087,0.02381,6e-05,2e-05,2.5926,4.38761,2.06875,6.25e-05,6.25e-05,6.25e-05
2,2.61386,2.20626,3.86792,1.65657,0.0177,0.40927,0.14929,0.05578,1.81991,3.92314,1.48756,0.000136593,0.000136593,0.000136593
3,2.90785,1.48115,2.79659,1.27838,0.02971,0.5769,0.26454,0.12454,1.47704,3.48389,1.26277,0.000209695,0.000209695,0.000209695
4,3.3104,1.40475,2.1347,1.18862,0.04238,0.66988,0.39215,0.21229,1.34898,3.2582,1.18679,0.000281807,0.000281807,0.000281807
5,3.59515,1.39343,1.97592,1.18556,0.61142,0.40398,0.42778,0.25173,1.23297,3.08435,1.14378,0.00035293,0.00035293,0.00035293
6,3.87639,1.35685,1.80127,1.18027,0.8633,0.22158,0.46702,0.2954,1.18452,2.896,1.12914,0.000423062,0.000423062,0.000423062
7,4.15826,1.2225,1.66607,1.1377,0.8693,0.29762,0.57608,0.3871,1.07925,2.61822,1.10617,0.000492205,0.000492205,0.000492205
8,4.43679,1.22665,1.51445,1.1181,0.90765,0.27381,0.6531,0.39868,1.11945,2.60285,1.09848,0.000560357,0.000560357,0.000560357
9,4.71855,1.25993,1.5683,1.14315,0.74728,0.35714,0.69804,0.45778,1.0847,2.36796,1.10912,0.00062752,0.00062752,0.00062752
10,4.994,1.17248,1.47079,1.11222,0.7409,0.38095,0.69054,0.43451,1.1492,2.43647,1.09409,0.000693692,0.000693692,0.000693692
11,5.26089,1.11717,1.44608,1.06025,0.78028,0.34675,0.65666,0.43306,1.1176,2.42708,1.06131,0.000758875,0.000758875,0.000758875
12,5.52478,1.08634,1.4003,1.06677,0.68975,0.45874,0.66508,0.43725,1.14955,2.32203,1.06114,0.000823068,0.000823068,0.000823068
13,5.79053,1.08466,1.36388,1.06573,0.64267,0.66689,0.67182,0.45871,1.0486,1.94183,1.06258,0.00088627,0.00088627,0.00088627
14,6.06125,1.17063,1.36031,1.08743,0.67063,0.68629,0.67852,0.45551,1.11116,1.77743,1.07276,0.000948483,0.000948483,0.000948483
15,6.32065,1.09772,1.34545,1.05127,0.68489,0.65551,0.66345,0.47101,1.03804,1.80229,1.04999,0.0010097,0.0010097,0.0010097
16,6.5957,1.17625,1.34309,1.07496,0.71305,0.56435,0.6408,0.44,1.093,1.74415,1.05073,0.00106994,0.00106994,0.00106994
17,6.85922,1.10549,1.27806,1.04658,0.69846,0.64254,0.67758,0.4671,1.01506,1.72836,1.03994,0.001118,0.001118,0.001118
18,7.12952,1.07098,1.28048,1.0518,0.70465,0.66088,0.68582,0.47997,1.02922,1.57142,1.03693,0.00110975,0.00110975,0.00110975
19,7.39308,1.12407,1.26963,1.04005,0.71194,0.65929,0.66148,0.45698,1.08573,1.53666,1.05187,0.0011015,0.0011015,0.0011015
20,7.75475,1.09153,1.34735,1.05131,0.70557,0.66088,0.67744,0.489,1.07379,1.58324,1.04255,0.00109325,0.00109325,0.00109325
21,8.01919,1.10561,1.22349,1.02921,0.71483,0.65245,0.6658,0.47975,1.04955,1.56805,1.02302,0.001085,0.001085,0.001085
22,8.28955,1.09187,1.222,1.04357,0.70174,0.69659,0.7356,0.52957,1.03829,1.41058,1.06064,0.00107675,0.00107675,0.00107675
23,8.55206,1.03402,1.17621,1.03423,0.69517,0.7426,0.73054,0.52427,1.02444,1.33319,1.07215,0.0010685,0.0010685,0.0010685
24,8.8173,1.00085,1.18493,1.02355,0.71993,0.73648,0.73793,0.52229,1.0236,1.37737,1.08109,0.00106025,0.00106025,0.00106025
25,9.07267,0.9405,1.13179,0.98767,0.77485,0.63844,0.72569,0.52353,1.01754,1.40448,1.07003,0.001052,0.001052,0.001052
26,9.33762,0.98654,1.13093,0.99756,0.70705,0.64897,0.68189,0.49407,1.00183,1.45874,1.05714,0.00104375,0.00104375,0.00104375
27,9.59394,0.95184,1.09254,1.00781,0.72102,0.71673,0.73462,0.50086,1.02769,1.40399,1.08281,0.0010355,0.0010355,0.0010355
