epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.3871,5.10511,5.01378,4.58069,0,0,0,0,5.54146,4.96553,4.15905,6.25e-05,6.25e-05,6.25e-05
2,2.73437,5.13059,4.8324,4.47345,0,0,0,0,5.54458,4.96861,4.16077,0.000136593,0.000136593,0.000136593
3,3.19158,4.77749,4.39724,4.37434,0,0,0,0,5.55127,4.96927,4.16349,0.000209695,0.000209695,0.000209695
4,3.52054,4.70962,4.08926,4.25088,0,0,0,0,5.55455,4.98057,4.17105,0.000281807,0.000281807,0.000281807
5,3.85467,4.55176,3.85829,4.10021,0,0,0,0,5.56985,4.99008,4.18319,0.00035293,0.00035293,0.00035293
6,4.18088,4.48276,3.78483,3.9745,0,0,0,0,5.58585,5.01447,4.20097,0.000423062,0.000423062,0.000423062
7,4.50984,4.36097,3.4686,3.78574,0,0,0,0,5.60423,5.04538,4.22705,0.000492205,0.000492205,0.000492205
8,4.83934,3.91447,3.20814,3.70574,0,0,0,0,5.62733,5.06996,4.2607,0.000560357,0.000560357,0.000560357
9,5.16757,3.79892,3.1443,3.50907,0,0,0,0,5.65803,5.12364,4.30723,0.00062752,0.00062752,0.00062752
10,5.49005,3.71123,2.96744,3.38875,0,0,0,0,5.67403,5.14697,4.3319,0.000693692,0.000693692,0.000693692
11,5.81339,3.46339,2.72997,3.30542,0,0,0,0,5.69598,5.19128,4.38285,0.000758875,0.000758875,0.000758875
12,6.1295,3.37677,2.69384,3.18071,0,0,0,0,5.70761,5.29097,4.43394,0.000823068,0.000823068,0.000823068
13,6.44558,3.30123,2.50209,3.0705,0,0,0,0,5.68741,5.21948,4.4057,0.00088627,0.00088627,0.00088627
14,6.76175,3.26003,2.53412,2.95811,0,0,0,0,5.65922,5.15874,4.37037,0.000948483,0.000948483,0.000948483
15,7.06615,3.03177,2.47396,2.94423,0,0,0,0,5.65557,5.16605,4.36678,0.0010097,0.0010097,0.0010097
16,7.38313,3.13728,2.40207,2.94134,0,0,0,0,5.66788,5.4591,4.3977,0.00106994,0.00106994,0.00106994
17,7.79116,3.04333,2.39273,2.81106,0,0,0,0,5.6631,5.48225,4.39998,0.001118,0.001118,0.001118
18,8.10663,2.9684,2.3119,2.78949,0.00056,0.00676,0.0075,0.003,5.42237,5.06632,4.16873,0.00110975,0.00110975,0.00110975
19,8.41498,2.95604,2.22352,2.71077,0.00615,0.09138,0.0276,0.00806,4.8945,4.46886,3.86212,0.0011015,0.0011015,0.0011015
20,8.72897,2.85354,2.29194,2.7754,0.19465,0.13192,0.07596,0.02145,3.68023,3.15477,3.19105,0.00109325,0.00109325,0.00109325
21,9.03845,2.75513,2.13636,2.68012,0.14169,0.19981,0.11251,0.02943,3.22046,2.72464,2.97501,0.001085,0.001085,0.001085
22,9.3608,2.85081,2.15615,2.71803,0.3372,0.22839,0.21602,0.06227,2.53629,2.25599,2.70278,0.00107675,0.00107675,0.00107675
23,9.66608,2.69893,2.01634,2.5965,0.29586,0.2899,0.22836,0.0595,2.57389,2.15787,2.69068,0.0010685,0.0010685,0.0010685
24,9.98068,2.6684,2.03152,2.55444,0.29674,0.25611,0.19127,0.05531,2.61022,2.24196,2.64871,0.00106025,0.00106025,0.00106025
25,10.2886,2.70398,2.04105,2.52538,0.23721,0.25745,0.16566,0.04531,2.84535,2.30359,2.72347,0.001052,0.001052,0.001052
26,10.6034,2.5685,1.94991,2.53633,0.16277,0.32658,0.15403,0.04987,2.78427,2.29624,2.67793,0.00104375,0.00104375,0.00104375
27,10.9101,2.45976,1.90375,2.49513,0.21761,0.31122,0.19099,0.06426,2.63023,2.2402,2.64227,0.0010355,0.0010355,0.0010355
28,11.2297,2.44266,1.85645,2.45605,0.23225,0.40798,0.2676,0.07827,2.67627,2.14194,2.60135,0.00102725,0.00102725,0.00102725
29,11.5401,2.36736,1.87676,2.44087,0.27693,0.49131,0.2901,0.11446,2.35527,2.03761,2.49832,0.001019,0.001019,0.001019
30,11.8552,2.41025,1.98954,2.41799,0.44686,0.28958,0.29674,0.10277,2.3102,2.27691,2.65428,0.00101075,0.00101075,0.00101075
31,12.1585,2.38192,1.88076,2.45119,0.62124,0.34615,0.36522,0.1318,2.24924,2.13266,2.66221,0.0010025,0.0010025,0.0010025
