epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.19018,2.88429,4.2999,2.12187,0,0,0,0,2.87874,4.46738,2.25291,6.25e-05,6.25e-05,6.25e-05
2,2.45477,2.4407,4.01335,1.88114,0.01156,0.36197,0.13226,0.05121,1.81955,3.94022,1.56921,0.000136593,0.000136593,0.000136593
3,2.71771,1.60138,2.80556,1.36869,0.01809,0.48906,0.20265,0.06246,1.5655,3.60681,1.35121,0.000209695,0.000209695,0.000209695
4,3.08289,1.33071,2.03929,1.21458,0.02738,0.63771,0.31588,0.12253,1.5998,3.38778,1.34434,0.000281807,0.000281807,0.000281807
5,3.32721,1.21237,1.84245,1.15498,0.59391,0.38095,0.40843,0.19836,1.45711,3.17789,1.25813,0.00035293,0.00035293,0.00035293
6,3.56658,1.07129,1.60908,1.08913,0.11227,0.72394,0.45257,0.2525,1.2934,2.97618,1.18168,0.000423062,0.000423062,0.000423062
7,3.80448,0.98508,1.52532,1.048,0.91073,0.16443,0.54221,0.31033,1.12595,2.74803,1.10664,0.000492205,0.000492205,0.000492205
8,4.04307,0.88829,1.39927,1.02076,1,0.14199,0.54298,0.35442,1.05494,2.79129,1.09771,0.000560357,0.000560357,0.000560357
9,4.28488,0.83171,1.24911,0.98681,0.73143,0.39631,0.584,0.38138,1.06211,2.44864,1.10214,0.00062752,0.00062752,0.00062752
10,4.51915,0.77055,1.15988,0.95504,0.77291,0.41796,0.64672,0.44141,1.03415,2.40363,1.06876,0.000693692,0.000693692,0.000693692
11,4.74966,0.76177,1.13247,0.94862,0.80381,0.4078,0.66518,0.46494,0.99797,2.39657,1.04975,0.000758875,0.000758875,0.000758875
12,4.98088,0.70492,1.04379,0.92732,0.74622,0.51842,0.65585,0.48244,0.96661,2.26151,1.04246,0.000823068,0.000823068,0.000823068
13,5.21089,0.67603,1.01276,0.92113,0.6827,0.51286,0.66779,0.48494,0.9776,2.18903,1.03209,0.00088627,0.00088627,0.00088627
14,5.44159,0.67917,0.96678,0.90809,0.70339,0.60773,0.65392,0.47667,0.97161,2.07415,1.04082,0.000948483,0.000948483,0.000948483
15,5.66549,0.63511,0.89081,0.90124,0.69493,0.62093,0.65425,0.486,0.94921,2.02132,1.03994,0.0010097,0.0010097,0.0010097
16,5.89714,0.63093,0.86353,0.8934,0.72014,0.651,0.70212,0.5051,0.95885,1.71138,1.03505,0.00106994,0.00106994,0.00106994
17,6.12074,0.58326,0.80811,0.8822,0.72131,0.6731,0.70097,0.5183,0.94291,1.67146,1.03561,0.001118,0.001118,0.001118
18,6.35211,0.5823,0.791,0.87381,0.76027,0.67982,0.73011,0.54166,0.9026,1.65615,1.03298,0.00110975,0.00110975,0.00110975
19,6.57721,0.57365,0.76283,0.87073,0.76281,0.67625,0.70565,0.5232,0.93013,1.61985,1.02724,0.0011015,0.0011015,0.0011015
20,6.8097,0.57783,0.7473,0.86437,0.78606,0.71523,0.74293,0.56101,0.87736,1.47542,1.02318,0.00109325,0.00109325,0.00109325
21,7.03534,0.59113,0.7473,0.86135,0.80463,0.68437,0.73424,0.56078,0.89806,1.40826,1.02938,0.001085,0.001085,0.001085
22,7.26739,0.54936,0.71322,0.85408,0.80061,0.72564,0.73804,0.56637,0.84967,1.38049,1.00754,0.00107675,0.00107675,0.00107675
23,7.58581,0.50383,0.67354,0.84751,0.77942,0.7434,0.74694,0.56972,0.86514,1.36907,1.01264,0.0010685,0.0010685,0.0010685
24,7.81652,0.49247,0.65,0.84693,0.80181,0.72638,0.74284,0.58402,0.8575,1.26089,1.01303,0.00106025,0.00106025,0.00106025
