epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30124,2.99479,4.1172,2.23619,0.00084,0.02381,8e-05,1e-05,2.63243,4.38554,2.09039,6.25e-05,6.25e-05,6.25e-05
2,2.58643,2.62709,4.01628,1.99766,0.01093,0.31789,0.10496,0.0494,1.73866,3.99945,1.48382,0.000136593,0.000136593,0.000136593
3,2.87021,2.07825,3.2273,1.60257,0.0213,0.50772,0.24466,0.11686,1.62856,3.68566,1.29175,0.000209695,0.000209695,0.000209695
4,3.26876,1.8351,2.63588,1.48366,0.03113,0.56178,0.30183,0.16001,1.49664,3.35833,1.2497,0.000281807,0.000281807,0.000281807
5,3.53727,1.71222,2.27784,1.39395,0.66884,0.35845,0.36528,0.1947,1.43669,3.01797,1.19275,0.00035293,0.00035293,0.00035293
6,3.80109,1.62847,2.08059,1.32215,0.77214,0.25,0.32673,0.1537,1.68713,3.01345,1.21187,0.000423062,0.000423062,0.000423062
7,4.07403,1.58274,2.07565,1.25571,0.84884,0.21429,0.41792,0.22083,1.32643,2.78393,1.14924,0.000492205,0.000492205,0.000492205
8,4.35355,1.54581,1.89462,1.20463,0.59293,0.45546,0.4939,0.21695,1.83917,2.42941,1.26483,0.000560357,0.000560357,0.000560357
9,4.61966,1.47136,1.74527,1.19725,0.48095,0.56381,0.54273,0.27543,1.58475,2.20566,1.18953,0.00062752,0.00062752,0.00062752
10,4.87968,1.40762,1.72507,1.16711,0.49588,0.42356,0.55047,0.26895,1.60028,2.41165,1.15987,0.000693692,0.000693692,0.000693692
11,5.14098,1.38552,1.71043,1.16406,0.5529,0.42613,0.56046,0.26256,1.61502,2.41205,1.18166,0.000758875,0.000758875,0.000758875
12,5.41617,1.351,1.63504,1.15669,0.4542,0.538,0.54961,0.261,1.77526,2.32477,1.20673,0.000823068,0.000823068,0.000823068
13,5.68406,1.39219,1.58219,1.15111,0.561,0.57367,0.57998,0.33586,1.36223,1.98793,1.12972,0.00088627,0.00088627,0.00088627
14,5.9538,1.43673,1.67423,1.19843,0.65935,0.58791,0.62279,0.32842,1.46988,1.8776,1.17484,0.000948483,0.000948483,0.000948483
15,6.2053,1.38922,1.49551,1.13835,0.69613,0.54923,0.58548,0.31008,1.50655,1.91173,1.17285,0.0010097,0.0010097,0.0010097
16,6.47176,1.32416,1.51174,1.15695,0.5412,0.67562,0.62774,0.41017,1.16581,1.92162,1.09475,0.00106994,0.00106994,0.00106994
17,6.72928,1.40465,1.51312,1.1651,0.50644,0.68742,0.64341,0.37652,1.38094,1.94718,1.10813,0.001118,0.001118,0.001118
