epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.23369,2.8406,4.29958,2.10165,0.00159,0.04762,0.00018,3e-05,2.63748,4.4037,2.11392,6.25e-05,6.25e-05,6.25e-05
2,2.50445,2.38089,4.01095,1.83728,0.00996,0.34685,0.1362,0.05611,1.82939,3.94588,1.53865,0.000136593,0.000136593,0.000136593
3,2.88435,1.66129,3.05624,1.44135,0.02099,0.50097,0.22093,0.09404,1.5218,3.64847,1.30352,0.000209695,0.000209695,0.000209695
4,3.13473,1.4372,2.34301,1.29706,0.03161,0.64286,0.28833,0.12676,1.54094,3.33981,1.27813,0.000281807,0.000281807,0.000281807
5,3.38782,1.34347,2.03662,1.24054,0.03534,0.67342,0.33458,0.16964,1.33443,3.18356,1.20523,0.00035293,0.00035293,0.00035293
6,3.63765,1.28013,1.80792,1.17497,0.74668,0.2774,0.44917,0.26064,1.2459,2.94356,1.14332,0.000423062,0.000423062,0.000423062
7,3.88531,1.24623,1.74042,1.14778,0.90017,0.23863,0.53264,0.33223,1.19684,2.61943,1.111,0.000492205,0.000492205,0.000492205
8,4.13101,1.24225,1.63589,1.14739,0.63516,0.41763,0.5667,0.3701,1.12265,2.53222,1.09449,0.000560357,0.000560357,0.000560357
9,4.38108,1.20606,1.57257,1.1354,0.65054,0.41736,0.53261,0.36142,1.05333,2.46327,1.08841,0.00062752,0.00062752,0.00062752
10,4.62111,1.16336,1.53816,1.09157,0.67294,0.30139,0.57577,0.37331,1.09961,2.53972,1.0987,0.000693692,0.000693692,0.000693692
11,4.85847,1.11618,1.52965,1.10557,0.69596,0.30163,0.58957,0.37479,1.09615,2.55195,1.10721,0.000758875,0.000758875,0.000758875
12,5.09662,1.11049,1.3867,1.07663,0.63283,0.36465,0.59244,0.39965,1.15246,2.36434,1.14087,0.000823068,0.000823068,0.000823068
13,5.3339,1.04483,1.38144,1.07084,0.70527,0.56306,0.67058,0.44394,1.05996,2.18586,1.08121,0.00088627,0.00088627,0.00088627
14,5.5733,1.07608,1.35694,1.07214,0.70328,0.54738,0.67019,0.43912,1.12832,2.2767,1.10756,0.000948483,0.000948483,0.000948483
15,5.80543,1.10259,1.38821,1.04465,0.68458,0.53612,0.63279,0.42192,1.11719,2.34864,1.08698,0.0010097,0.0010097,0.0010097
16,6.04272,1.05017,1.31156,1.03829,0.59004,0.61229,0.66637,0.46953,1.11796,2.02364,1.09599,0.00106994,0.00106994,0.00106994
17,6.27385,1.06747,1.38019,1.03997,0.61981,0.6233,0.65564,0.46831,1.07969,1.85028,1.07705,0.001118,0.001118,0.001118
18,6.51724,1.00499,1.22615,1.03111,0.65425,0.70849,0.66466,0.45958,1.03142,1.56171,1.05928,0.00110975,0.00110975,0.00110975
19,6.74557,1.0216,1.24623,1.02551,0.68326,0.63343,0.64756,0.45404,1.07392,1.5188,1.06905,0.0011015,0.0011015,0.0011015
20,6.98635,0.96694,1.26253,0.98922,0.67175,0.71016,0.7115,0.48844,1.17859,1.59007,1.07472,0.00109325,0.00109325,0.00109325
21,7.21581,1.0384,1.19128,1.02148,0.68224,0.67986,0.69425,0.49079,1.10572,1.64742,1.05425,0.001085,0.001085,0.001085
