epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.27257,2.83451,4.27489,2.10379,0.0017,0.03571,0.00098,0.0001,2.62542,4.40719,2.10167,6.25e-05,6.25e-05,6.25e-05
2,2.54151,2.36806,4.02958,1.83496,0.01272,0.39254,0.12456,0.05628,1.85906,3.97563,1.54405,0.000136593,0.000136593,0.000136593
3,2.80346,1.64349,3.2746,1.45032,0.01875,0.48906,0.2383,0.11687,1.50394,3.71053,1.29321,0.000209695,0.000209695,0.000209695
4,3.1743,1.42359,2.57294,1.31496,0.02544,0.54633,0.28997,0.1232,1.48717,3.44106,1.28657,0.000281807,0.000281807,0.000281807
5,3.42965,1.3662,2.12226,1.2739,0.6766,0.26785,0.38431,0.20913,1.36484,3.04959,1.19672,0.00035293,0.00035293,0.00035293
6,3.67809,1.2898,1.84134,1.19656,0.76532,0.21677,0.41758,0.2634,1.2801,2.78932,1.16453,0.000423062,0.000423062,0.000423062
7,3.93124,1.23862,1.81094,1.17566,0.60495,0.31435,0.48266,0.30133,1.23677,2.58861,1.12036,0.000492205,0.000492205,0.000492205
8,4.17896,1.24587,1.66769,1.16398,0.67476,0.47297,0.57116,0.35977,1.15797,2.35437,1.10824,0.000560357,0.000560357,0.000560357
9,4.42865,1.22454,1.6038,1.13752,0.58665,0.55566,0.53652,0.36981,1.11357,2.11131,1.10881,0.00062752,0.00062752,0.00062752
10,4.66888,1.16666,1.5689,1.10004,0.55897,0.53504,0.51177,0.34728,1.16053,2.2383,1.13999,0.000693692,0.000693692,0.000693692
11,4.90477,1.12361,1.56212,1.12097,0.57031,0.35702,0.48495,0.33132,1.16042,2.39749,1.14878,0.000758875,0.000758875,0.000758875
12,5.143,1.11618,1.40753,1.08627,0.71302,0.46264,0.6308,0.43219,1.21471,2.29502,1.13909,0.000823068,0.000823068,0.000823068
13,5.38587,1.08339,1.3935,1.07806,0.75169,0.52188,0.6682,0.44135,1.10169,2.13303,1.11505,0.00088627,0.00088627,0.00088627
14,5.62212,1.11701,1.41178,1.09433,0.6835,0.55902,0.66518,0.43909,1.15767,2.15284,1.15578,0.000948483,0.000948483,0.000948483
15,5.84994,1.12038,1.37366,1.05775,0.75978,0.50592,0.64763,0.42768,1.13379,2.25056,1.13838,0.0010097,0.0010097,0.0010097
16,6.09076,1.04912,1.32161,1.04925,0.64647,0.66331,0.65924,0.45032,1.15792,2.03088,1.12873,0.00106994,0.00106994,0.00106994
17,6.32294,1.10974,1.39729,1.05914,0.67606,0.66688,0.69398,0.45922,1.13856,1.85117,1.12118,0.001118,0.001118,0.001118
18,6.56231,1.03036,1.24143,1.03683,0.70962,0.61004,0.66669,0.45634,1.0682,1.63006,1.08859,0.00110975,0.00110975,0.00110975
19,6.79096,1.01385,1.26403,1.03401,0.72417,0.57432,0.6635,0.46037,1.057,1.57542,1.08829,0.0011015,0.0011015,0.0011015
20,7.03072,0.98676,1.29974,1.00639,0.68858,0.64995,0.68967,0.46074,1.12517,1.61689,1.0967,0.00109325,0.00109325,0.00109325
21,7.26176,1.00156,1.19458,1.02015,0.75966,0.64929,0.71328,0.47574,1.07999,1.67615,1.0892,0.001085,0.001085,0.001085
22,7.50216,0.98454,1.2376,1.01055,0.66719,0.68522,0.69294,0.49549,1.01623,1.60652,1.06804,0.00107675,0.00107675,0.00107675
23,7.73782,0.98083,1.23205,1.01795,0.69371,0.71525,0.71661,0.50986,1.00273,1.49939,1.05956,0.0010685,0.0010685,0.0010685
24,8.06842,0.97161,1.16189,0.99899,0.729,0.69466,0.71107,0.51433,1.01288,1.41078,1.06887,0.00106025,0.00106025,0.00106025
25,8.30145,0.95565,1.14695,0.99783,0.77382,0.71686,0.76863,0.54463,0.986,1.33106,1.06956,0.001052,0.001052,0.001052
26,8.53999,0.88765,1.05494,0.97169,0.73975,0.76802,0.77001,0.55695,0.99481,1.32313,1.09142,0.00104375,0.00104375,0.00104375
27,8.77547,0.97239,1.13287,1.01709,0.66153,0.73757,0.75085,0.55315,0.97574,1.34045,1.07819,0.0010355,0.0010355,0.0010355
28,9.01416,0.92878,1.06987,1.00552,0.67304,0.76439,0.76213,0.55282,0.95192,1.3054,1.05179,0.00102725,0.00102725,0.00102725
29,9.24548,0.85257,1.02073,0.98677,0.72108,0.74984,0.75214,0.54958,0.96334,1.30316,1.04524,0.001019,0.001019,0.001019
30,9.48184,0.87536,1.01772,0.97276,0.80401,0.70689,0.76776,0.55517,0.95334,1.26876,1.02683,0.00101075,0.00101075,0.00101075
31,9.70989,0.87752,1.00052,0.97769,0.72257,0.70013,0.74625,0.54535,0.93532,1.26609,1.02045,0.0010025,0.0010025,0.0010025
32,9.94734,0.89932,1.00084,0.97346,0.68758,0.69753,0.74028,0.55656,0.93646,1.24188,1.02481,0.00099425,0.00099425,0.00099425
33,10.1784,0.88194,1.0352,0.97762,0.6067,0.76287,0.74099,0.55195,0.95482,1.36278,1.03563,0.000986,0.000986,0.000986
34,10.4161,0.94121,1.07781,0.98155,0.6744,0.72362,0.72271,0.54054,0.95288,1.32188,1.02696,0.00097775,0.00097775,0.00097775
35,10.6459,0.93349,0.99729,0.98378,0.73227,0.70784,0.73022,0.5588,0.89569,1.29471,1.00868,0.0009695,0.0009695,0.0009695
36,10.8888,0.92117,1.02455,0.98717,0.77999,0.73518,0.78102,0.59967,0.92681,1.1937,1.00488,0.00096125,0.00096125,0.00096125
37,11.121,0.93964,1.00912,0.98057,0.81106,0.74648,0.79521,0.61668,0.89122,1.16753,1.00705,0.000953,0.000953,0.000953
38,11.3609,0.89371,0.96568,0.99373,0.78331,0.70013,0.78256,0.5925,0.89539,1.153,1.01256,0.00094475,0.00094475,0.00094475
39,11.5904,0.83662,0.94606,0.95714,0.78417,0.70062,0.77695,0.59819,0.86232,1.14505,1.01582,0.0009365,0.0009365,0.0009365
40,11.8251,0.8363,0.94609,0.97376,0.73676,0.74168,0.77372,0.59454,0.86592,1.16887,1.00818,0.00092825,0.00092825,0.00092825
41,12.0583,0.86933,0.9717,0.97491,0.70113,0.73889,0.76356,0.583,0.89917,1.19037,1.00535,0.00092,0.00092,0.00092
42,12.2949,0.81029,0.91645,0.96112,0.79987,0.69305,0.77058,0.5756,0.89672,1.19044,1.00521,0.00091175,0.00091175,0.00091175
43,12.5282,0.87232,0.95887,0.96216,0.80083,0.70495,0.76821,0.57484,0.89495,1.181,1.00338,0.0009035,0.0009035,0.0009035
44,12.7679,0.85081,0.89255,0.95868,0.76954,0.71838,0.7745,0.58486,0.8559,1.13625,1.00377,0.00089525,0.00089525,0.00089525
45,13.095,0.80492,0.90761,0.94127,0.68618,0.76043,0.77329,0.58355,0.84801,1.17166,0.99871,0.000887,0.000887,0.000887
46,13.3346,0.8174,0.89768,0.94335,0.78288,0.73236,0.77411,0.57374,0.85751,1.22169,0.99155,0.00087875,0.00087875,0.00087875
47,13.5609,0.87601,0.93645,0.94099,0.79609,0.71847,0.78433,0.57827,0.91077,1.15909,0.99067,0.0008705,0.0008705,0.0008705
48,13.796,0.87271,0.9033,0.96241,0.82765,0.71515,0.79533,0.61127,0.8415,1.13866,0.99677,0.00086225,0.00086225,0.00086225
49,14.0279,0.83987,0.8953,0.95033,0.81344,0.77284,0.81013,0.62193,0.81962,1.12527,0.99723,0.000854,0.000854,0.000854
50,14.2652,0.80705,0.8711,0.94947,0.82948,0.76554,0.80689,0.60626,0.82112,1.09623,0.99727,0.00084575,0.00084575,0.00084575
51,14.495,0.78849,0.83501,0.95422,0.81558,0.76472,0.79556,0.60577,0.82528,1.10147,0.99294,0.0008375,0.0008375,0.0008375
52,14.7308,0.79049,0.86151,0.95641,0.74036,0.77124,0.79438,0.61308,0.80032,1.11247,0.993,0.00082925,0.00082925,0.00082925
53,14.9618,0.76851,0.80081,0.92664,0.75279,0.77124,0.79619,0.61731,0.79835,1.13799,0.98224,0.000821,0.000821,0.000821
54,15.1962,0.77006,0.82034,0.94208,0.79488,0.75418,0.7889,0.61408,0.78772,1.14932,0.97651,0.00081275,0.00081275,0.00081275
55,15.4244,0.72977,0.80723,0.9208,0.81484,0.73339,0.80062,0.62342,0.77481,1.11917,0.97855,0.0008045,0.0008045,0.0008045
56,15.662,0.76178,0.82306,0.94285,0.74001,0.74005,0.79532,0.62025,0.77523,1.14864,0.97225,0.00079625,0.00079625,0.00079625
57,15.8943,0.78291,0.83576,0.95933,0.75907,0.72232,0.77852,0.6137,0.77174,1.13708,0.9744,0.000788,0.000788,0.000788
58,16.1376,0.80857,0.84114,0.947,0.77665,0.77504,0.8062,0.6235,0.76203,1.08732,0.96907,0.00077975,0.00077975,0.00077975
59,16.3704,0.72179,0.79842,0.91941,0.83937,0.71812,0.79872,0.61734,0.77483,1.09927,0.97112,0.0007715,0.0007715,0.0007715
60,16.6075,0.7203,0.77653,0.91988,0.82548,0.72241,0.81785,0.62171,0.78075,1.09196,0.96323,0.00076325,0.00076325,0.00076325
61,16.8358,0.73906,0.80157,0.92637,0.84933,0.72876,0.81352,0.63085,0.78544,1.05907,0.96143,0.000755,0.000755,0.000755
62,17.0755,0.73191,0.76972,0.91977,0.79859,0.76309,0.83566,0.65045,0.76023,1.05733,0.95994,0.00074675,0.00074675,0.00074675
63,17.3054,0.74179,0.78048,0.91547,0.7404,0.81631,0.82339,0.664,0.75831,1.0522,0.95104,0.0007385,0.0007385,0.0007385
64,17.5414,0.75429,0.76828,0.8993,0.89274,0.75704,0.83845,0.66911,0.7611,1.01366,0.95316,0.00073025,0.00073025,0.00073025
65,17.7709,0.7473,0.75477,0.90397,0.87049,0.75257,0.82113,0.65988,0.78827,1.01502,0.95692,0.000722,0.000722,0.000722
66,18.0973,0.74256,0.74811,0.92182,0.80047,0.78294,0.80789,0.64947,0.7608,1.01985,0.97272,0.00071375,0.00071375,0.00071375
67,18.3278,0.70904,0.7515,0.91847,0.85884,0.73112,0.81091,0.65428,0.76197,1.06074,0.97331,0.0007055,0.0007055,0.0007055
68,18.5609,0.76676,0.78901,0.91867,0.87669,0.73,0.82332,0.66048,0.75931,1.07532,0.97511,0.00069725,0.00069725,0.00069725
69,18.7924,0.73354,0.75317,0.92076,0.85333,0.7263,0.80785,0.63593,0.793,1.06365,0.97936,0.000689,0.000689,0.000689
70,19.0278,0.73195,0.77007,0.93566,0.72353,0.79665,0.81594,0.63129,0.80121,1.05532,0.98411,0.00068075,0.00068075,0.00068075
71,19.2545,0.74158,0.74844,0.92153,0.90344,0.70756,0.82612,0.64497,0.7466,1.02972,0.96565,0.0006725,0.0006725,0.0006725
72,19.4897,0.72483,0.73404,0.90669,0.83632,0.72362,0.79651,0.62058,0.76105,1.05901,0.96588,0.00066425,0.00066425,0.00066425
73,19.7168,0.72415,0.72609,0.91555,0.81189,0.74743,0.79838,0.62991,0.76574,1.04921,0.96254,0.000656,0.000656,0.000656
74,19.9547,0.72985,0.73005,0.91418,0.8784,0.75257,0.81783,0.64556,0.77761,1.00198,0.96699,0.00064775,0.00064775,0.00064775
75,20.1839,0.70112,0.71841,0.90776,0.86983,0.7323,0.8202,0.64327,0.76395,1.0009,0.96289,0.0006395,0.0006395,0.0006395
76,20.4192,0.71526,0.74562,0.92238,0.81217,0.76165,0.83263,0.64661,0.75886,0.99482,0.96251,0.00063125,0.00063125,0.00063125
77,20.6475,0.7004,0.72425,0.89848,0.83892,0.76574,0.82631,0.63903,0.7599,0.9905,0.96675,0.000623,0.000623,0.000623
78,20.8828,0.74435,0.73892,0.90404,0.81103,0.79665,0.81575,0.62041,0.80073,1.01668,0.98109,0.00061475,0.00061475,0.00061475
79,21.1124,0.73606,0.72175,0.92631,0.86577,0.73069,0.81051,0.62069,0.80204,1.01967,0.97998,0.0006065,0.0006065,0.0006065
80,21.3491,0.64722,0.70776,0.89775,0.87511,0.71508,0.80926,0.62786,0.76281,1.01123,0.96844,0.00059825,0.00059825,0.00059825
81,21.5753,0.68651,0.68573,0.89853,0.85505,0.71162,0.79636,0.61406,0.77517,1.01386,0.96892,0.00059,0.00059,0.00059
82,21.8103,0.66644,0.67628,0.90041,0.85993,0.70305,0.79378,0.61137,0.7686,1.01521,0.98365,0.00058175,0.00058175,0.00058175
83,22.0372,0.72163,0.69422,0.89542,0.87061,0.72088,0.81108,0.62146,0.76808,0.98982,0.98685,0.0005735,0.0005735,0.0005735
84,22.2724,0.66305,0.66667,0.91532,0.73557,0.82352,0.81273,0.64078,0.74316,0.96707,0.98374,0.00056525,0.00056525,0.00056525
85,22.5044,0.69724,0.68275,0.91177,0.82312,0.73755,0.81956,0.64059,0.74907,1.00614,0.97803,0.000557,0.000557,0.000557
86,22.7451,0.67284,0.68125,0.89123,0.88644,0.70335,0.83005,0.65066,0.73598,0.97531,0.9635,0.00054875,0.00054875,0.00054875
87,22.9751,0.65809,0.68832,0.8967,0.79682,0.80663,0.82764,0.65403,0.74765,0.96111,0.96673,0.0005405,0.0005405,0.0005405
88,23.2084,0.64658,0.66462,0.89933,0.88301,0.70285,0.82215,0.6512,0.73192,0.98842,0.96748,0.00053225,0.00053225,0.00053225
89,23.5296,0.6509,0.66823,0.90102,0.75253,0.83493,0.82676,0.66763,0.72768,0.98114,0.96741,0.000524,0.000524,0.000524
90,23.7646,0.72182,0.7019,0.91594,0.79759,0.77931,0.82689,0.66787,0.7136,0.96665,0.96032,0.00051575,0.00051575,0.00051575
91,23.9919,0.65515,0.66383,0.901,0.74911,0.80429,0.82493,0.65942,0.71685,0.99452,0.95822,0.0005075,0.0005075,0.0005075
92,24.2359,0.65816,0.69096,0.90218,0.91134,0.70634,0.83306,0.67843,0.718,0.96726,0.96577,0.00049925,0.00049925,0.00049925
93,24.4636,0.66058,0.66354,0.90525,0.82493,0.76063,0.82825,0.67442,0.70655,0.99138,0.96739,0.000491,0.000491,0.000491
94,24.7073,0.70581,0.68614,0.91221,0.83145,0.76749,0.82523,0.64757,0.7275,0.9947,0.96955,0.00048275,0.00048275,0.00048275
95,24.9363,0.68976,0.67453,0.90484,0.82879,0.77799,0.8302,0.65895,0.71356,0.98915,0.96916,0.0004745,0.0004745,0.0004745
96,25.1738,0.68586,0.6902,0.91582,0.80924,0.74743,0.81971,0.64274,0.7302,0.9889,0.97675,0.00046625,0.00046625,0.00046625
97,25.4008,0.691,0.66788,0.90976,0.80262,0.74743,0.81707,0.64506,0.7177,1.00745,0.97397,0.000458,0.000458,0.000458
98,25.6384,0.66029,0.66184,0.89801,0.85924,0.74907,0.82262,0.65659,0.72146,0.98877,0.96756,0.00044975,0.00044975,0.00044975
99,25.8692,0.66734,0.66286,0.90447,0.87953,0.73018,0.82881,0.66247,0.71113,0.97071,0.96372,0.0004415,0.0004415,0.0004415
100,26.106,0.63592,0.63378,0.8844,0.81687,0.75946,0.82492,0.65462,0.72405,0.9686,0.9745,0.00043325,0.00043325,0.00043325
101,26.3356,0.63543,0.63086,0.87954,0.84381,0.72394,0.80241,0.66081,0.73752,0.99058,0.97477,0.000425,0.000425,0.000425
102,26.5716,0.65794,0.64376,0.88898,0.83655,0.72746,0.79554,0.64746,0.74042,0.9996,0.97629,0.00041675,0.00041675,0.00041675
103,26.7992,0.64968,0.633,0.89588,0.84321,0.73745,0.80129,0.65692,0.72894,0.98418,0.97534,0.0004085,0.0004085,0.0004085
104,27.0345,0.62714,0.62967,0.89953,0.84804,0.75837,0.82824,0.66596,0.70404,0.9796,0.9599,0.00040025,0.00040025,0.00040025
105,27.261,0.61637,0.64306,0.892,0.79378,0.79826,0.82661,0.6686,0.70833,0.9906,0.95478,0.000392,0.000392,0.000392
106,27.4938,0.6387,0.63199,0.8853,0.78059,0.80469,0.83261,0.6865,0.69377,0.96983,0.951,0.00038375,0.00038375,0.00038375
107,27.8141,0.63245,0.61145,0.87623,0.814,0.77958,0.83623,0.69272,0.69149,0.96232,0.95081,0.0003755,0.0003755,0.0003755
108,28.0508,0.65557,0.64054,0.89114,0.88412,0.75005,0.82866,0.66781,0.69719,0.96011,0.9577,0.00036725,0.00036725,0.00036725
109,28.2781,0.63905,0.62307,0.88588,0.87418,0.76094,0.82823,0.66506,0.69876,0.97021,0.95718,0.000359,0.000359,0.000359
110,28.5153,0.64197,0.64404,0.90625,0.88854,0.74662,0.83041,0.67115,0.704,0.97544,0.95552,0.00035075,0.00035075,0.00035075
111,28.7441,0.6615,0.65543,0.8952,0.81572,0.80483,0.82818,0.67182,0.70711,0.97016,0.95581,0.0003425,0.0003425,0.0003425
112,28.9801,0.62048,0.61775,0.87573,0.84072,0.77876,0.81934,0.66116,0.69002,0.96201,0.94625,0.00033425,0.00033425,0.00033425
