epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.93598,3.03502,4.24839,2.05262,0.00041,0.0119,4e-05,1e-05,2.714,4.34329,2.07896,6.25e-05,6.25e-05,6.25e-05
2,2.18275,2.52766,4.0358,1.80277,0.00517,0.14286,0.01271,0.00509,2.23233,4.00497,1.60345,0.000136593,0.000136593,0.000136593
3,2.42114,1.83967,3.26599,1.42389,0.016,0.36873,0.14993,0.08092,1.60448,3.72412,1.27379,0.000209695,0.000209695,0.000209695
4,2.7647,1.71859,2.64129,1.30638,0.02092,0.42793,0.22127,0.13066,1.49453,3.42695,1.24943,0.000281807,0.000281807,0.000281807
5,2.99178,1.73185,2.28763,1.29642,0.02933,0.62773,0.34118,0.15186,1.75234,3.17657,1.29201,0.00035293,0.00035293,0.00035293
6,3.21735,1.6779,2.10938,1.28426,0.8505,0.21429,0.41374,0.2229,1.48542,2.70337,1.2461,0.000423062,0.000423062,0.000423062
7,3.44073,1.49277,1.80992,1.24299,0.83681,0.25676,0.41704,0.21568,1.53425,2.51737,1.25578,0.000492205,0.000492205,0.000492205
8,3.66161,1.42342,1.70428,1.17451,0.48882,0.40519,0.53185,0.29621,1.46947,2.27053,1.2141,0.000560357,0.000560357,0.000560357
9,3.88633,1.48113,1.68591,1.20181,0.49781,0.59856,0.52008,0.30971,1.3776,2.06579,1.158,0.00062752,0.00062752,0.00062752
10,4.10337,1.38528,1.60824,1.17943,0.52191,0.56338,0.53896,0.33316,1.34441,1.96586,1.12952,0.000693692,0.000693692,0.000693692
11,4.32076,1.29587,1.54821,1.10442,0.59548,0.48037,0.58306,0.36371,1.27024,2.02337,1.12315,0.000758875,0.000758875,0.000758875
12,4.53586,1.23706,1.46183,1.12534,0.60587,0.54022,0.55485,0.32842,1.30941,2.11529,1.14524,0.000823068,0.000823068,0.000823068
13,4.74776,1.23685,1.46711,1.13759,0.62492,0.57749,0.60119,0.35714,1.32081,1.95135,1.14107,0.00088627,0.00088627,0.00088627
14,4.96363,1.36581,1.49615,1.1528,0.60737,0.60198,0.58299,0.35924,1.36295,1.87836,1.16248,0.000948483,0.000948483,0.000948483
15,5.16966,1.28266,1.48044,1.12984,0.60256,0.58012,0.59735,0.35177,1.3165,1.91431,1.16838,0.0010097,0.0010097,0.0010097
16,5.38685,1.31435,1.42266,1.13985,0.54592,0.63827,0.59455,0.37376,1.24592,1.88468,1.12883,0.00106994,0.00106994,0.00106994
