epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.30532,2.85885,4.24757,2.03963,0.00207,0.10714,0.00128,0.00038,2.15429,4.13551,1.82112,5e-05,5e-05,0.09505
2,2.59571,2.07112,3.54644,1.62924,0.00281,0.32143,0.04504,0.00956,2.35419,3.58006,1.8941,0.000109274,0.000109274,0.0891093
3,2.90752,1.52024,2.43273,1.30125,0.22368,0.19369,0.02708,0.01332,2.46043,3.77382,2.00922,0.000167756,0.000167756,0.0831678
4,3.32097,1.49547,2.09495,1.23636,0.23222,0.49389,0.15023,0.07106,1.95871,3.4095,1.65468,0.000225446,0.000225446,0.0772254
5,3.61577,1.43743,2.02589,1.22349,0.2063,0.67021,0.27553,0.15415,1.53123,3.03,1.33552,0.000282344,0.000282344,0.0712823
6,3.88047,1.37995,1.86494,1.18902,0.11697,0.85779,0.48605,0.27106,1.33901,2.79309,1.23466,0.00033845,0.00033845,0.0653384
7,4.14113,1.31869,1.73713,1.15796,0.81242,0.21429,0.4884,0.2856,1.32244,2.6,1.22986,0.000393764,0.000393764,0.0593938
8,4.40527,1.28621,1.64137,1.13292,0.9033,0.25933,0.58319,0.33986,1.32378,2.46775,1.20439,0.000448286,0.000448286,0.0534483
9,4.66511,1.34379,1.67602,1.18966,0.705,0.25378,0.54094,0.32671,1.26082,2.39375,1.16286,0.000502016,0.000502016,0.047502
10,4.91623,1.30782,1.59753,1.1639,0.5584,0.45013,0.53991,0.35635,1.21712,2.17546,1.16905,0.000554954,0.000554954,0.041555
11,5.16872,1.21475,1.54855,1.11353,0.48923,0.66152,0.59353,0.38249,1.2401,1.92531,1.16731,0.0006071,0.0006071,0.0356071
12,5.41904,1.1642,1.48075,1.12198,0.56007,0.67503,0.65817,0.41672,1.24543,1.75868,1.16097,0.000658454,0.000658454,0.0296585
13,5.6703,1.1863,1.48612,1.13191,0.62279,0.61357,0.63664,0.40018,1.22279,1.6911,1.15526,0.000709016,0.000709016,0.023709
14,5.91676,1.28488,1.47243,1.14004,0.61544,0.67986,0.62063,0.41258,1.21689,1.63247,1.15215,0.000758786,0.000758786,0.0177588
15,6.16012,1.19917,1.48229,1.11192,0.64921,0.69337,0.63045,0.43031,1.1813,1.57171,1.12565,0.000807764,0.000807764,0.0118078
16,6.41607,1.22884,1.40815,1.10367,0.60657,0.65099,0.65995,0.45147,1.14567,1.46928,1.13045,0.00085595,0.00085595,0.00585595
17,6.6642,1.22051,1.38806,1.08884,0.55843,0.71042,0.67715,0.45665,1.13225,1.4453,1.13292,0.0008944,0.0008944,0.0008944
18,6.91377,1.16743,1.38837,1.08801,0.57196,0.69509,0.65812,0.44839,1.08546,1.4378,1.13209,0.0008878,0.0008878,0.0008878
19,7.15296,1.21674,1.3793,1.09571,0.59461,0.72492,0.6871,0.45657,1.07233,1.39699,1.13006,0.0008812,0.0008812,0.0008812
20,7.40396,1.19007,1.38083,1.11541,0.66191,0.6612,0.70634,0.48581,1.0751,1.35999,1.13732,0.0008746,0.0008746,0.0008746
21,7.64792,1.16252,1.33665,1.08435,0.69122,0.61551,0.69694,0.45913,1.14651,1.3532,1.16011,0.000868,0.000868,0.000868
22,7.90154,1.18855,1.35918,1.10635,0.68329,0.68983,0.69727,0.49269,1.09471,1.38789,1.12118,0.0008614,0.0008614,0.0008614
23,8.22867,1.1794,1.30836,1.09332,0.78214,0.65244,0.6856,0.49924,1.0847,1.39653,1.09895,0.0008548,0.0008548,0.0008548
24,8.48095,1.12878,1.31985,1.0771,0.80126,0.6287,0.71333,0.50551,1.0525,1.3753,1.08181,0.0008482,0.0008482,0.0008482
25,8.73092,1.08878,1.27787,1.03691,0.69808,0.69981,0.72005,0.51408,1.05447,1.33681,1.08129,0.0008416,0.0008416,0.0008416
26,8.98489,1.12871,1.26352,1.0564,0.76058,0.64575,0.72211,0.49712,1.05763,1.33166,1.07229,0.000835,0.000835,0.000835
