epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,1.33711,3.20027,5.24597,2.24779,0,0,0,0,3.46581,5.75405,2.60973,6.25e-05,6.25e-05,6.25e-05
2,1.71545,2.56104,3.83453,1.90696,0.14484,0.26978,0.20977,0.08172,1.93475,12.6914,1.5831,0.000136593,0.000136593,0.000136593
3,2.15117,1.51664,2.0187,1.34754,0.62693,0.3565,0.36269,0.18236,1.54985,5.50363,1.34787,0.000209695,0.000209695,0.000209695
4,2.65893,1.33196,1.62357,1.18117,0.52699,0.57239,0.54276,0.27534,1.40099,4.4437,1.2408,0.000281807,0.000281807,0.000281807
5,3.03588,1.28599,1.59436,1.15431,0.58127,0.5,0.56207,0.3216,1.28544,2.64368,1.18753,0.00035293,0.00035293,0.00035293
6,3.40799,1.22627,1.41561,1.12176,0.49037,0.6953,0.60656,0.38098,1.1036,3.02296,1.10719,0.000423062,0.000423062,0.000423062
7,3.77653,1.14744,1.36319,1.12101,0.63312,0.68005,0.68352,0.45277,1.0759,2.73946,1.10083,0.000492205,0.000492205,0.000492205
8,4.13876,1.1272,1.29083,1.07137,0.5653,0.61873,0.65158,0.44324,1.01303,2.94581,1.07792,0.000560357,0.000560357,0.000560357
9,4.49507,1.18109,1.32615,1.11415,0.56695,0.61229,0.61127,0.37806,1.06495,2.33598,1.1041,0.00062752,0.00062752,0.00062752
10,4.84138,1.09999,1.22405,1.07271,0.52905,0.63377,0.63076,0.39537,1.09057,2.1861,1.10761,0.000693692,0.000693692,0.000693692
11,5.18859,1.03653,1.15187,1.0366,0.64961,0.6976,0.70299,0.43894,1.13853,1.54092,1.09805,0.000758875,0.000758875,0.000758875
12,5.53318,1.02429,1.13426,1.04904,0.73794,0.70538,0.7186,0.49804,1.07293,1.47983,1.10248,0.000823068,0.000823068,0.000823068
13,5.88591,1.00052,1.09339,1.05161,0.50344,0.77317,0.75824,0.5332,0.95228,1.84181,1.03914,0.00088627,0.00088627,0.00088627
14,6.23881,1.09024,1.06052,1.08619,0.57512,0.73123,0.6962,0.46585,1.08239,1.53074,1.06665,0.000948483,0.000948483,0.000948483
15,6.58072,1.02517,1.03888,1.0496,0.62043,0.6612,0.68962,0.44487,1.10934,1.51086,1.07184,0.0010097,0.0010097,0.0010097
16,6.92729,1.04145,1.01768,1.05296,0.56913,0.66768,0.63442,0.45492,0.95814,1.83941,1.05508,0.00106994,0.00106994,0.00106994
17,7.26821,1.04256,0.99828,1.03047,0.65707,0.54109,0.63707,0.46313,1.01832,1.58481,1.07297,0.001118,0.001118,0.001118
18,7.61331,1.0192,1.02062,1.03956,0.62445,0.74279,0.70819,0.52687,0.95264,1.31561,1.07301,0.00110975,0.00110975,0.00110975
19,7.95455,1.04381,1.09693,1.02891,0.59121,0.76476,0.74147,0.51397,0.96205,1.40406,1.05729,0.0011015,0.0011015,0.0011015
20,8.29998,1.01486,1.06529,1.02892,0.76357,0.57527,0.73469,0.49894,1.0909,1.51836,1.03934,0.00109325,0.00109325,0.00109325
21,8.64299,1.04159,0.97685,1.00765,0.71484,0.639,0.72574,0.52858,1.01885,1.36755,1.0799,0.001085,0.001085,0.001085
22,8.9932,1.01272,0.97531,1.02499,0.68918,0.75965,0.7904,0.5857,0.94684,1.29765,1.03083,0.00107675,0.00107675,0.00107675
23,9.34067,0.96958,0.93678,1.02029,0.66109,0.69422,0.80278,0.5737,0.94005,1.39227,1.03235,0.0010685,0.0010685,0.0010685
24,9.68516,0.92292,0.89831,1.0119,0.7394,0.7889,0.77686,0.53622,1.01448,1.17678,1.06884,0.00106025,0.00106025,0.00106025
25,10.1167,0.91522,0.90994,0.97998,0.74717,0.73566,0.76312,0.52049,1.00831,1.18101,1.09482,0.001052,0.001052,0.001052
26,10.462,0.92764,0.86767,0.98858,0.71229,0.77992,0.81495,0.58951,0.94177,1.1903,1.02096,0.00104375,0.00104375,0.00104375
27,10.8037,0.88336,0.83779,0.99777,0.69258,0.81922,0.83233,0.62172,0.91938,1.23725,1.012,0.0010355,0.0010355,0.0010355
28,11.1574,0.95314,0.82661,0.98603,0.77756,0.82116,0.83067,0.61431,0.9497,1.09812,1.01195,0.00102725,0.00102725,0.00102725
29,11.4905,0.91657,0.82571,0.99416,0.74201,0.79452,0.80103,0.604,0.90392,1.09154,1.01391,0.001019,0.001019,0.001019
30,11.8326,0.92434,0.82694,0.99347,0.82947,0.80588,0.8286,0.63751,0.88501,0.96673,0.99871,0.00101075,0.00101075,0.00101075
31,12.1782,0.89912,0.80281,0.97561,0.79065,0.81164,0.82618,0.64872,0.87338,0.99352,1.0002,0.0010025,0.0010025,0.0010025
32,12.528,0.8572,0.76819,0.96361,0.78568,0.84749,0.82942,0.60902,0.90272,1.01297,1.02461,0.00099425,0.00099425,0.00099425
33,12.8725,0.89441,0.7617,0.96955,0.76225,0.83398,0.80598,0.60716,0.90196,1.04278,1.02211,0.000986,0.000986,0.000986
34,13.2199,0.88401,0.75711,0.97185,0.73691,0.76832,0.78037,0.60689,0.88529,1.0215,0.98795,0.00097775,0.00097775,0.00097775
35,13.5609,0.8566,0.7556,0.95856,0.70875,0.74067,0.78575,0.61385,0.90272,1.04465,0.99644,0.0009695,0.0009695,0.0009695
36,13.9107,0.80253,0.74073,0.96707,0.79425,0.79151,0.81652,0.63747,0.85737,0.99511,0.98354,0.00096125,0.00096125,0.00096125
37,14.2492,0.83075,0.74352,0.9476,0.79733,0.8005,0.81156,0.63391,0.84949,0.97922,0.98448,0.000953,0.000953,0.000953
38,14.6011,0.89067,0.77313,0.97732,0.82493,0.78475,0.84347,0.64206,0.8675,0.97491,0.98458,0.00094475,0.00094475,0.00094475
39,14.938,0.83135,0.72443,0.96028,0.78453,0.83205,0.84926,0.65105,0.84547,0.98985,0.98909,0.0009365,0.0009365,0.0009365
40,15.2912,0.80443,0.70678,0.94581,0.79131,0.77127,0.82318,0.60657,0.89165,1.04223,1.02299,0.00092825,0.00092825,0.00092825
41,15.6241,0.76583,0.68944,0.94791,0.80379,0.7897,0.84711,0.61074,0.88988,0.99522,1.03188,0.00092,0.00092,0.00092
42,15.9688,0.8036,0.70447,0.94818,0.78601,0.78173,0.82514,0.61409,0.94446,1.0036,1.0738,0.00091175,0.00091175,0.00091175
43,16.3052,0.81034,0.68052,0.94249,0.7282,0.78194,0.82347,0.596,0.97562,1.01611,1.07831,0.0009035,0.0009035,0.0009035
44,16.7437,0.81326,0.69667,0.95951,0.77543,0.78314,0.83278,0.61596,0.88774,0.98851,1.04662,0.00089525,0.00089525,0.00089525
45,17.0827,0.80354,0.6727,0.96086,0.7776,0.79151,0.80312,0.61437,0.87563,0.95005,1.04533,0.000887,0.000887,0.000887
46,17.4299,0.82102,0.68487,0.94091,0.80999,0.78636,0.81046,0.591,0.99492,0.96879,1.04695,0.00087875,0.00087875,0.00087875
47,17.7732,0.88595,0.68903,0.94646,0.81506,0.70174,0.79408,0.59831,0.90698,0.97495,1.03892,0.0008705,0.0008705,0.0008705
48,18.1177,0.81877,0.64836,0.93659,0.73149,0.78642,0.79681,0.61205,0.92147,0.99566,1.0307,0.00086225,0.00086225,0.00086225
49,18.454,0.83479,0.66206,0.9344,0.75712,0.8018,0.81764,0.62552,0.8965,0.91552,1.03161,0.000854,0.000854,0.000854
50,18.7988,0.77974,0.64618,0.93548,0.78965,0.86643,0.83095,0.65199,0.81676,0.85996,1.01732,0.00084575,0.00084575,0.00084575
51,19.1459,0.76462,0.64046,0.93729,0.80441,0.86844,0.8743,0.64859,0.82475,0.88989,1.02762,0.0008375,0.0008375,0.0008375
52,19.4941,0.79725,0.64897,0.94395,0.85347,0.84234,0.88691,0.65599,0.82458,0.89091,1.02757,0.00082925,0.00082925,0.00082925
53,19.8379,0.7581,0.63761,0.9454,0.78017,0.8508,0.85834,0.64484,0.82176,0.87984,1.02164,0.000821,0.000821,0.000821
54,20.1836,0.76686,0.64068,0.93673,0.80311,0.82038,0.85168,0.64227,0.8284,0.88212,1.01109,0.00081275,0.00081275,0.00081275
55,20.5228,0.74779,0.62426,0.92791,0.78398,0.83044,0.83288,0.61775,0.88526,0.91661,1.0046,0.0008045,0.0008045,0.0008045
56,20.866,0.78866,0.62994,0.91699,0.78219,0.83108,0.86064,0.62948,0.81365,0.96371,1.00366,0.00079625,0.00079625,0.00079625
57,21.2025,0.71852,0.61369,0.93092,0.82133,0.82842,0.869,0.64116,0.81322,0.93309,1.01502,0.000788,0.000788,0.000788
58,21.5475,0.78495,0.65198,0.94432,0.82296,0.82368,0.84052,0.62737,0.85646,0.92487,1.00394,0.00077975,0.00077975,0.00077975
59,21.8804,0.77445,0.63491,0.93001,0.83668,0.82591,0.86099,0.63385,0.86686,0.92953,1.00367,0.0007715,0.0007715,0.0007715
60,22.2237,0.73871,0.62577,0.93193,0.77384,0.80502,0.82911,0.63816,0.81906,0.88171,1.01704,0.00076325,0.00076325,0.00076325
61,22.5614,0.68944,0.58575,0.91448,0.7761,0.79665,0.79322,0.6301,0.80789,0.86772,1.01784,0.000755,0.000755,0.000755
62,22.9071,0.77667,0.61749,0.91733,0.79193,0.81338,0.82049,0.62445,0.85986,0.91009,1.02614,0.00074675,0.00074675,0.00074675
63,23.3343,0.69146,0.60169,0.92224,0.80238,0.80148,0.81962,0.62983,0.83738,0.94506,1.02655,0.0007385,0.0007385,0.0007385
64,23.6835,0.7206,0.58798,0.91499,0.80481,0.8388,0.85037,0.64111,0.8189,0.90061,1.02942,0.00073025,0.00073025,0.00073025
65,24.0212,0.71781,0.60006,0.92582,0.84033,0.81178,0.8573,0.64954,0.81574,0.8771,1.04002,0.000722,0.000722,0.000722
66,24.3653,0.69443,0.57939,0.90599,0.87021,0.81178,0.86037,0.65912,0.79421,0.89841,1.03352,0.00071375,0.00071375,0.00071375
67,24.7124,0.71107,0.59478,0.91299,0.86382,0.79226,0.836,0.63744,0.81598,0.90973,1.04812,0.0007055,0.0007055,0.0007055
