epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,2.25906,2.8406,4.29958,2.10165,0.00159,0.04762,0.00018,3e-05,2.63748,4.4037,2.11392,6.25e-05,6.25e-05,6.25e-05
2,2.52669,2.38025,4.01108,1.83709,0.00989,0.34685,0.13064,0.0553,1.82641,3.94703,1.53884,0.000137046,0.000137046,0.000137046
3,2.91342,1.65998,3.05814,1.44102,0.021,0.50097,0.22527,0.09515,1.51786,3.66585,1.30709,0.000211098,0.000211098,0.000211098
4,3.16835,1.43029,2.34391,1.29781,0.03107,0.6361,0.29311,0.13774,1.51211,3.34411,1.27289,0.000284654,0.000284654,0.000284654
5,3.42693,1.33307,2.03276,1.23396,0.03778,0.71396,0.36342,0.18495,1.30709,3.17613,1.18295,0.000357715,0.000357715,0.000357715
6,3.67843,1.27857,1.81329,1.16964,0.77028,0.29762,0.44327,0.24472,1.23635,2.94826,1.14621,0.000430281,0.000430281,0.000430281
7,3.9273,1.24109,1.72777,1.14629,0.89747,0.21429,0.52745,0.32949,1.21018,2.63088,1.0966,0.000502353,0.000502353,0.000502353
8,4.17446,1.24035,1.63783,1.14385,0.60907,0.56824,0.57646,0.3724,1.0849,2.5763,1.07293,0.000573929,0.000573929,0.000573929
9,4.42566,1.21127,1.58598,1.14046,0.6982,0.31034,0.5305,0.35851,1.05056,2.50067,1.10975,0.00064501,0.00064501,0.00064501
10,4.66861,1.15721,1.56267,1.09376,0.64197,0.33318,0.51593,0.34111,1.13919,2.50748,1.11058,0.000715596,0.000715596,0.000715596
11,4.90788,1.1218,1.54274,1.11458,0.67881,0.27477,0.5294,0.36641,1.0567,2.47601,1.103,0.000785687,0.000785687,0.000785687
12,5.14767,1.11809,1.37626,1.08391,0.67406,0.44942,0.62768,0.41546,1.1479,2.36077,1.13899,0.000855284,0.000855284,0.000855284
